InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Region
537218,85016,SET OF 6 VINTAGE NOTELETS KIT,6,2010-12-05 15:46:00,2.55,12763.0,Japan,Asia
537218,21506,"FANCY FONT BIRTHDAY CARD, ",12,2010-12-05 15:46:00,0.42,12763.0,Japan,Asia
537218,22716,CARD CIRCUS PARADE,12,2010-12-05 15:46:00,0.42,12763.0,Japan,Asia
537218,22983,CARD BILLBOARD FONT,12,2010-12-05 15:46:00,0.42,12763.0,Japan,Asia
537218,22030,SWALLOWS GREETING CARD,12,2010-12-05 15:46:00,0.42,12763.0,Japan,Asia
537218,22984,CARD GINGHAM ROSE ,12,2010-12-05 15:46:00,0.42,12763.0,Japan,Asia
537218,85015,SET OF 12  VINTAGE POSTCARD SET,6,2010-12-05 15:46:00,2.55,12763.0,Japan,Asia
537218,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,12,2010-12-05 15:46:00,1.69,12763.0,Japan,Asia
537218,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,2010-12-05 15:46:00,0.85,12763.0,Japan,Asia
537218,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,12,2010-12-05 15:46:00,0.85,12763.0,Japan,Asia
537218,21210,SET OF 72 RETROSPOT PAPER  DOILIES,24,2010-12-05 15:46:00,1.45,12763.0,Japan,Asia
537218,84988,SET OF 72 PINK HEART PAPER DOILIES,24,2010-12-05 15:46:00,1.45,12763.0,Japan,Asia
537218,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,16,2010-12-05 15:46:00,3.75,12763.0,Japan,Asia
537218,22750,FELTCRAFT PRINCESS LOLA DOLL,8,2010-12-05 15:46:00,3.75,12763.0,Japan,Asia
537218,22751,FELTCRAFT PRINCESS OLIVIA DOLL,8,2010-12-05 15:46:00,3.75,12763.0,Japan,Asia
537218,22940,FELTCRAFT CHRISTMAS FAIRY,8,2010-12-05 15:46:00,4.25,12763.0,Japan,Asia
537899,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1488,2010-12-09 10:44:00,2.55,12755.0,Japan,Asia
538397,22961,JAM MAKING SET PRINTED,60,2010-12-12 11:44:00,1.45,12753.0,Japan,Asia
538397,85032B,BLOSSOM IMAGES GIFT WRAP SET,48,2010-12-12 11:44:00,2.1,12753.0,Japan,Asia
538397,85032C,CURIOUS IMAGES GIFT WRAP SET,48,2010-12-12 11:44:00,2.1,12753.0,Japan,Asia
538397,85032A,ROMANTIC IMAGES GIFT WRAP SET,48,2010-12-12 11:44:00,2.1,12753.0,Japan,Asia
538397,22857,ASSORTED EASTER GIFT TAGS,48,2010-12-12 11:44:00,0.85,12753.0,Japan,Asia
538397,85017B,ENVELOPE 50 BLOSSOM IMAGES,48,2010-12-12 11:44:00,0.85,12753.0,Japan,Asia
