id,video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
14547,-Hz00xRLPyo,2018-01-27,JUSTICE LEAGUE Official Blu-ray Trailer #1 (2017) DC Superhero Movie HD,Comicbook.com,1,2018-01-18 18:24:11+00:00,"justice league|""trailer""|""superman""|""blu-ray""|""zack snyder""|""snyder cut""|""extended cut""|""deleted scene""|""return of superman""",87802,672,140,251,https://i.ytimg.com/vi/-Hz00xRLPyo/default.jpg,False,False,False,"Justice League Official Blu-ray Trailer #1 (2017) DC Superhero Movie HD\n\nSubscribe for more official Trailers, TV Spots, Movie Clips, Featurettes and exclusive content!"
14591,-yMXWp-Fh3g,2018-01-27,KAZAKHSTAN 24-hour ARMY RATION TASTE TEST | Kazakh MRE,emmymadeinjapan,26,2018-01-16 01:00:02+00:00,"military ration|""ration""|""army""|""taste""|""taste test""|""test""|""emmy""|""emmymade""|""emmymadeinjapan""|""Kazakhstan""|""Kazakh""|""Russian""|""Russia""|""24-hour""|""combat""|""food""|""MRE""|""meal ready to eat""",243634,7232,233,1571,https://i.ytimg.com/vi/-yMXWp-Fh3g/default.jpg,False,False,False,"Tasting 24-hours worth of food for a Kazakh soldier in this military ration taste test.  Big thanks to BlackDogBob for sending me this ration and for making this episode possible.  :)  New videos every Monday, Thursday, and Saturday. \n\nEmmymade MERCH: http://bit.ly/2kdGvYg \n\nJoin the Emmy League of Adventuresome Eaters & find me here:\n\nSUBSCRIBE: http://youtube.com/subscription_center?add_user=emmymadeinjapan\n\nTWITTER: https://twitter.com/emmymadeinjapan\nINSTAGRAM: http://instagram.com/emmymade\nSNAPCHAT: @emmymade\nFACEBOOK: https://www.facebook.com/itsemmymadeinjapan/\n\nOTHER CHANNEL: emmymade http://bit.ly/1zK04SJ\n\nFind Black Dog Bob here: http://bit.ly/2mz65F2\n\nMilitary Ration Playlist: http://bit.ly/1joAS3i\n\nThis video is NOT sponsored. \n\nPersonal Vendetta 2 courtesy of www.epidemicsound.com.  Royalty-free Sprightly and from iMovie.  If you're reading this, you know what's what. Comment: Lobster claw."
14430,0GQmGOju6CE,2018-01-27,THE GHOST IN MY HOUSE - Morgan Adams,Morgan Adams,24,2018-01-24 18:59:44+00:00,"shane dawson stanley|""morgan adams""|""morgan""|""ryland morgan""|""ryland sister""|""shane dawson sister""|""shane sister""|""ghost""|""storytime""|""ghost story""|""dear david""|""vlogger""|""lookout mountain""|""vicki adams""|""shane ghost""|""morgan ghost""|""morgan adams ryland""",587819,48701,561,8291,https://i.ytimg.com/vi/0GQmGOju6CE/default.jpg,False,False,False,"The amount of orbs in this freaks me out haha\nSorry this is a bit lengthy. I wanted to explain to you all a little more about Angie. Also, I am not a medium or a ghost whisperer nor am I trying to be hahahahahah \nI will be back with somethin a little more light hearted again :)\n\nWATCH SHANES VIDEO ABOUT ANGIE: https://www.youtube.com/watch?v=Xw_RS1Ovpns&t=540s\n\nFollow me around I think I'm funny sometimes\nInstagram: https://www.instagram.com/morrganics/\nTwitter: https://twitter.com/_morganadams_\nSnapchat with me and ANG: @Morgan_adams33"
14482,1m7WNpBbjKM,2018-01-27,BLACK DYNAMITE 2 Teaser Trailer #1 NEW (2018) Michael Jai White Movie HD,MovieAccessTrailers,24,2018-01-23 22:35:36+00:00,"black dynamite 2 trailer|""black dynamite 2""|""trailer""|""2018""|""new""|""new trailer""|""official""|""official trailer""|""hd trailer""|""michael jai white""|""movie""|""film""|""hd""",18981,333,10,26,https://i.ytimg.com/vi/1m7WNpBbjKM/default.jpg,False,False,False,"BLACK DYNAMITE 2 Teaser Trailer #1 NEW (2018) Michael Jai White Movie HD\n\nWanna watch something? MovieAccessTrailers gives you full access to the Cinematic Universe. We Cover latest movie trailers,teaser,tv spots,clips and exclusive footage. When you love movies, you will never have enough. MovieAccess keeps it coming, so SUBSCRIBE! - https://goo.gl/QdKTco"
14534,2B85lYenaxE,2018-01-27,Heathers Official Red Band Trailer | Premieres March 7th on Paramount Network,Paramount Network,24,2018-01-18 20:12:56+00:00,"Paramount Network|""premiere""|""tv show""|""drama""|""series""|""trailer""|""redband""|""episodes""|""comedy""|""heathers""|""2018""|""1988""|""murder""|""killing""|""cult classic""|""dark""|""dark comedy""|""pitch black comedy""|""reboot""|""heather chandler""|""killer""|""diva""|""chainsaw""|""melanie field""|""heather duke""|""brendan scannell""|""veronica sawyer""|""grace victoria cox""|""heather McNamara""|""Jasmine Matthews""|""J.D. Dean""|""James Sculley""|""Nikki SooHoo""|""love""|""rivalry""|""re-imagining""|""clique""|""black comedy""|""Shannen Doherty""",1147728,8762,29760,7038,https://i.ytimg.com/vi/2B85lYenaxE/default.jpg,False,False,False,"“Heathers,” based on the killer cult classic, premieres March 7th on the Paramount Network.\n\nHeathers on Paramount Network: https://goo.gl/g23epz\n\n#ParamountNetwork #Heathers\n\nStarring Grace Victoria Cox as Veronica Sawyer, James Scully as JD, Melanie Field as Heather Chandler, Brendan Scannell as Heather Duke, and Jasmine Mathews as Heather McNamara. \n\nHeathers is an hour-long pitch-black comedy anthology set in the present day, based on the 1988 cult classic film of the same name. The much-anticipated reboot perfectly blends drama, love, rivalry, and comedy into a modern-day masterpiece.\n\nSubscribe for More! https://goo.gl/vnHLxY\n\nFollow Paramount Network\nWebsite: http://www.paramountnetwork.com\nFacebook: @ParamountNetwork\nInstagram: @ParamountNetwork\nTwitter: @ParamountNet"
14536,2UmRhLA3Qzk,2018-01-27,First look at Nintendo Labo,Nintendo Labo UK,20,2018-01-17 22:00:05+00:00,"Nintendo|""Labo""|""Nintendo Labo""|""Workshop""|""Toy-Con""|""Make""|""Play""|""Discover""|""Trailer""|""Latest YouTube videos""|""#Labo""|""Nintendo Switch Labo""|""Switch Labo""|""Labbo""|""#Labbo""|""Nintendo Labbo""|""Nintendo Switch Labbo""|""Switch Labbo""|""Toys""|""Toy""|""Build""|""Create""|""Nintendo Switch""|""Switch""|""NintendoSwitch""|""#NintendoSwitch""|""#Switch""|""Joy Con""|""JoyCon""|""ToyCon""|""Toy Con""|""Nintendo LAB""|""LEGO""|""Cardboard""|""Card""|""Crafts""|""Arts and crafts""",117693,2866,323,6,https://i.ytimg.com/vi/2UmRhLA3Qzk/default.jpg,False,False,False,"Get ready to make, play and discover! Create new ways to play with Nintendo Labo, launching 27/04/2018 on Nintendo Switch! \n\n#NintendoLabo #Nintendo #NintendoSwitch\n\nFind out more about Nintendo Labo: https://www.nintendo.co.uk/Nintendo-Labo/Nintendo-Labo-1328637.html?utm_medium=social&utm_source=youtube&utm_campaign=NintendoLabo%7CAnnouncement%7Cw3\n\nFind out more about Nintendo Switch: https://www.nintendo.co.uk/switch\nSubscribe to the channel to stay up to date: http://bit.ly/2DfVYfz"
14522,2kCbFmjEi6A,2018-01-27,Breaking Benjamin - Red Cold River (Official Video),BreakingBenjaminVEVO,10,2018-01-19 05:00:00+00:00,"Breaking|""Benjamin""|""Red""|""Cold""|""River""|""Hollywood""|""Records""|""Rock""",930741,42818,524,3786,https://i.ytimg.com/vi/2kCbFmjEi6A/default.jpg,False,False,False,"Red Cold River is available here:\nDownload: http://hollywoodrecs.co/BBRedColdRiverDL\nStreaming: http://hollywoodrecs.co/BBRedColdRiver\n\nFollow Breaking Benjamin:\nFacebook: http://facebook.com/breakingbenjamin\nInstagram: http://instagram.com/breakingbenjamin\nTwitter: http://twitter.com/breakingbenj\n\nMusic video by Breaking Benjamin performing Red Cold River. (C) 2018 Hollywood Records, Inc\n\nhttp://vevo.ly/eInv7t"
14423,3ChgRbqGi-E,2018-01-27,Kygo - Stranger Things ft. OneRepublic,KygoOfficialVEVO,10,2018-01-24 08:00:01+00:00,"Dance/House/Techno|""Kygo""|""Kygo feat. OneRepublic""|""Stranger Things""",2414692,124376,1590,4032,https://i.ytimg.com/vi/3ChgRbqGi-E/default.jpg,False,False,False,"Stranger Things - Kygo feat. OneRepublic | Official music video\nEP: Luga Podesta & Brandon Bonfiglio\nProducer: Jamee Ranta, Luga Podesta, Brandon Bonfiglio\nDirector: Tim Mattia\nEditor: Jen Kennedy \nVFX: GloriaFX\nColorist: Simone Grattarola\n \nListen at:\nSpotify: https://Kygo.lnk.to/spKygoST\nApple Music: https://Kygo.lnk.to/AKygoST\nMulti Retailer: https://Kygo.lnk.to/sKygoST\n\nKids In Love Album:\nSpotify: https://Kygo.lnk.to/sKygoKILa\nApple Music: https://Kygo.lnk.to/ApKygoKIL\nMulti Retailer: https://Kygo.lnk.to/KKILA\n\nhttps://www.facebook.com/kygoofficial/\nhttps://www.instagram.com/kygomusic/"
14501,41oqd-mogW8,2018-01-27,HOW TO WEAR A SUIT | STYLE IDEAS AND ACCESSORIES,Inthefrow,26,2018-01-21 19:00:30+00:00,"Inthefrow|""In the frow""|""HOW TO WEAR""|""HOW TO STYLE""|""STYLE IDEAS""|""SUITING""|""SUITS""|""HOW TO STYLE THE SUIT""|""HOW TO WEAR A SUIT""|""WOMENS SUITS 2018""|""WOMENS SUITS""|""NEW IN FASHION""|""TAILORING""|""STYLING SUITS""|""STYLING TAILORED PIECES""|""NEW IN ACCESSORIES""|""NEW IN SUITS""|""REISS""|""ME+EM""|""ME AND EM""|""HEBE""|""STELLA MCCARTNEY""|""HOW TO WEAR A SUIT | STYLE IDEAS AND ACCESSORIES""",51664,2779,59,294,https://i.ytimg.com/vi/41oqd-mogW8/default.jpg,False,False,False,"HOW TO WEAR A SUIT | STYLE IDEAS AND ACCESSORIES\n\nWelcome back to another fashion styling video all about one of my favourite trends right now for 2018 - the suit! So many of you requested a look at how to style them and which ones I am loving right now so I did just that. How I style my suits and how I feel my most confident in the trend - hope you enjoy! \n\nI am LOVING filming more fashion/trend related videos for 2018 so if you have any recommendations or topics you'd like to see me film leave me a comment below!\n\n\nDid you see my new #ITFStyle series: https://youtu.be/m7TtuejNkOw\n\n\n❤ Subscribe: http://inthefrow.co/subtoitf\n❤ Catch my latest blog post: http://www.inthefrow.com\n❤ Instagram: http://www.instagram.com/inthefrow\n❤ Twitter: http://www.twitter.com/inthefrow\n❤ 10 FAQs about me: http://inthefrow.co/2ychtze\n\n\nI receive a small % of commission from anything bought via the product links below. It doesn't cost you any more and is a little thank you to me, I guess, for inspiring a possible purchase :)\n\n\nPrince of Wales Check Suit  ❤\n\nBlazer: https://rstyle.me/n/cwwx3yuige\nTrousers: https://rstyle.me/n/cwwx4tuige\nBlazer Dupe: https://rstyle.me/n/cwwx7uuige\nSkirt Alternative: https://rstyle.me/n/cwwx74uige\n\nRed Heels: https://rstyle.me/n/cwwx7buige  \nSheer Turtle Neck: Reiss Sold Out\nSolid Turtle Neck: https://rstyle.me/n/cwwyi8uige\nConverse: https://rstyle.me/n/cwwykxuige\n\n\nRed Suit ❤\n\nBlazer: http://fave.co/2DozZTy\nTrousers: http://fave.co/2DoTiMm\nBlazer Dupe: https://rstyle.me/n/cwwyweuige\nTrouser Dupe: https://rstyle.me/n/cwwywtuige\n\nNavy Cami: https://rstyle.me/n/cwwyyjuige\nNude Heels: Dior Boutiques\n\n\nSleeveless Suit ❤\n\nSleeveless Blazer: https://rstyle.me/n/cwwy8vuige\nTrousers: https://rstyle.me/n/cwwzakuige\nRegular Blazer: https://rstyle.me/n/cwwy8euige\n\nSleeveless Top: Pinko Sold Out\nButterfly Flats: https://rstyle.me/~agvG1\n\n\nWhite Suit ❤\n\nBlazer: Reiss Sold Out\nTrousers: Reiss Sold Out\nBlazer Alternative: https://rstyle.me/~agvJy\nTrousers Alternative: https://rstyle.me/~agvJD\n\nNude Heels: Dior Boutiques\nRoll Neck: Reiss Sold Out\n\n\nMismatch Suit ❤\n\nNavy Blazer: https://rstyle.me/~agvwu\nSide Stripe Trousers: Me+Em Sold Out\nNavy Blazer Dupe: https://rstyle.me/n/cwwz3auige\nSide Stripe Trousers New: https://rstyle.me/n/cwwzyruige\n\nBra: Dior Boutiques\nNude Heels: Dior Boutiques \n\n\nStatement Blazer ❤\n\nPink Blazer: https://rstyle.me/n/cwwz4vuige\nBlazer Alternative: https://rstyle.me/n/cwwz9guige\nBlazer Alternative 2: https://rstyle.me/n/cww2anuige\n\nWhite Tee: https://rstyle.me/n/cwwz5xuige\nNavy Jumper: https://rstyle.me/n/cwwz7iuige\nTrousers: https://rstyle.me/n/cww2a6uige\nNude Heels: https://rstyle.me/n/cww2bnuige\n\n\nNavy Fitted Suit ❤\n\nSuit: http://fave.co/2gT9JH7\nBlazer Alternative: https://rstyle.me/n/cww2dvuige\nTrousers Alternative: https://rstyle.me/n/cww2ejuige\n\nSilver Heels: https://rstyle.me/~agvOV\nWhite Tee: https://rstyle.me/n/cwwz5xuige\n\n\nThe Newest Addition ❤\n\nI also wore a brand new suit this weekend to one of my Google Pixel meet ups and you can find it here: https://rstyle.me/n/cwwym7uige & the matching skirt here: https://rstyle.me/n/cwwypwuige\n\nCLOTHING RAIL:\nCopper Clothing Rail: http://fave.co/2D5fDi5\n\n\nFind Me ❤\n\nContact: http://www.gleamfutures.com/client-contact/victoria\n\nMusic by Epidemic Sound (www.epidemicsound.com)\n\nThank you so much for watching and for the support always! Love you guys so much ❤"
14409,48-pr5-G6Pw,2018-01-27,HAIM - Night So Long (Live At The Greek),HaimVEVO,10,2018-01-26 19:30:01+00:00,"Alternative|""Columbia""|""HAIM""|""Night So Long""",31358,3016,15,226,https://i.ytimg.com/vi/48-pr5-G6Pw/default.jpg,False,False,False,"New album 'Something To Tell You' available now: http://haim.lnk.to/stty\n \nDirector: Paul Thomas Anderson\nRecording Produced, Engineered and Mixed by Ariel Rechtshaid\nProduction Supervisor: Karen Ramirez\nEditor: Andy Jurgenesen\nProduction Company: Ghoulardi Film Company\nFirst Assistant Director: Adam Somner\nCamera Operator: Ari Robbins \nFirst Assistant Camera: Chris Flurry, Matt Sanderson\nAssistant Camera: Aaron Tichenor\nAssistant Camera / Loader: Drey Singer\nAdditional Camera: Matthew Rivera\nGaffer: David Lee\nGrip: Kuba Bojsza\nAdditional Engineers: Chris Kasych, John DeBold, Scott Adamson, Nick Rowe\nProduction Assistants: Chelsea Davenport, Aida Saam\nPanavision Cameras: Lori Killiam, Dan Sasaki\nFotokem: Andrew Oran\nRoundabout: Carl Moore\n\nDanielle Haim: guitar/vocals\nEste Haim: bass guitar/backing vocals\nAlana Haim: backing vocals\nTommy King: synthesizers\nJody Giachello: percussion \n\nFilmed on location at The Greek Theater, Los Angeles, CA\nOctober 19, 2017\n\nFollow HAIM: \nhttp://facebook.com/haimtheband\nhttp://twitter.com/haimtheband\nhttp://instagram.com/haimtheband\nhttp://haimtheband.com"
